delivery_id,order_id,driver_id,vehicle_id,hub_id,dispatch_time,delivery_completed_at,delivery_status,route_distance_km,manual_route_override_count,proof_of_completion_missing,customer_rating_post_delivery,fuel_or_charge_cost,completion_missing_flag,actual_duration_hours,temporal_anomaly_flag,promised_window_hours,service_type,priority_level,pickup_zone,dropoff_zone,order_value,delay_hours,is_late
DL00001,O00938,D004,V056,H05,2024-06-18 10:57:00,2024-06-19 09:05:59.904311,Failed,17.26,1,0,3.07,12.05,0,22.149973419722222,0,6,Business,Medium,Central,Central,151.14,16.149973419722222,1
DL00002,O00004,D138,V007,H02,2025-01-11 18:45:00,2025-01-11 17:39:00.000000,OnTime,10.34,1,0,5.0,13.41,0,-1.1,1,2,Parcel,Medium,Riverside,North,10.04,0.0,0
DL00003,O00639,D006,V049,H02,2025-06-02 20:39:00,2025-06-02 21:45:32.366770,OnTime,7.92,0,0,4.98,8.51,0,1.1089907694444445,0,2,Medical,Medium,Central,North,141.93,0.0,0
DL00004,O00313,D116,V055,H02,2024-03-08 23:31:00,2024-03-09 23:30:08.103702,Delayed,16.42,0,0,4.18,13.62,0,23.985584361666664,0,24,Medical,Low,South,North,11.11,0.0,0
DL00005,O00844,D108,V034,H01,2025-09-21 11:43:00,2025-09-21 15:45:34.131056,OnTime,14.52,1,0,4.18,9.22,0,4.042814182222222,0,6,Medical,High,Riverside,Riverside,76.02,0.0,0
DL00006,O00029,D037,V098,H03,2024-09-11 12:40:00,2024-09-12 17:11:52.384869,Delayed,13.84,0,0,1.57,9.58,0,28.531218019166666,0,24,Medical,Medium,East,Central,190.94,4.531218019166666,1
DL00007,O00097,D151,V037,H07,2024-01-09 13:41:00,2024-01-10 23:39:11.072850,Delayed,32.72,0,0,4.64,17.7,0,33.969742458333336,0,24,Parcel,Medium,Airport,Airport,72.64,9.969742458333336,1
DL00008,O00207,D082,V066,H03,2024-08-22 21:34:00,2024-08-22 23:22:21.531162,OnTime,7.16,1,0,3.76,11.66,0,1.8059808783333333,0,6,Business,Medium,Central,Riverside,80.33,0.0,0
DL00009,O00297,D088,V029,H05,2024-04-12 21:33:00,2024-04-13 01:18:52.673288,OnTime,40.23,1,0,3.7,15.78,0,3.7646314688888887,0,6,Passenger,Low,Airport,Riverside,151.53,0.0,0
DL00010,O00836,D058,V057,H08,2025-09-22 19:09:00,2025-09-23 01:15:29.151459,Failed,9.85,1,0,3.2,9.31,0,6.1080976275,0,6,Passenger,Low,South,North,45.9,0.10809762750000029,1
