driver_id,base_zone,employment_type,years_experience,training_score,driver_rating,shift_preference,active_flag,performance_score,performance_tier
D001,Airport,FullTime,8,67.8,3.54,Morning,1,69.6,Moderate
D002,Central,FullTime,4,42.4,3.94,Evening,1,64.24,Moderate
D003,Airport,FullTime,11,96.5,5.0,Evening,1,98.6,Elite
D004,Airport,PartTime,13,88.9,4.75,Morning,1,92.56,Elite
D005,North,FullTime,3,69.7,4.14,Morning,1,77.56,High
D006,Central,FullTime,8,78.8,4.38,Flexible,1,84.08,High
D007,North,FullTime,4,92.6,3.94,Evening,1,84.32,High
D008,South,FullTime,9,84.1,3.88,Morning,1,80.2,High
D009,Airport,FullTime,15,63.4,3.8,Night,1,70.96,High
D010,West,FullTime,8,70.0,3.95,Evening,1,75.4,High
D011,East,FullTime,3,89.4,3.85,Night,1,81.96,High
D012,South,FullTime,10,95.1,4.48,Night,1,91.8,Elite
D013,West,FullTime,11,80.8,4.31,Morning,1,84.04,High
D014,North,FullTime,6,76.1,4.7,Evening,1,86.84,Elite
D015,East,FullTime,11,85.1,4.34,Morning,1,86.12,Elite
D016,Airport,FullTime,6,81.9,4.31,Evening,1,84.48,High
D017,East,PartTime,1,75.2,4.34,Morning,1,82.16,High
D018,West,PartTime,14,73.8,4.57,Flexible,1,84.36,High
D019,Riverside,FullTime,11,73.4,3.82,Flexible,0,75.2,High
D020,East,FullTime,6,75.2,4.61,Evening,1,85.4,Elite
D021,South,FullTime,7,91.8,4.24,Evening,1,87.6,Elite
D022,East,FullTime,9,68.7,3.36,Flexible,1,67.8,Moderate
D023,East,FullTime,11,79.1,4.16,Night,1,81.56,High
D024,Riverside,PartTime,8,71.4,3.35,Evening,1,68.76,Moderate
D025,North,FullTime,1,86.4,3.72,Morning,1,79.2,High
D026,North,PartTime,4,84.9,3.15,Night,0,71.76,High
D027,Airport,PartTime,12,74.3,3.7,Night,1,74.12,High
D028,North,FullTime,11,83.0,4.07,Flexible,1,82.04,High
D029,East,Contract,2,70.2,3.84,Flexible,1,74.16,High
D030,Central,FullTime,7,74.0,4.56,Night,1,84.32,High
D031,North,FullTime,10,91.5,4.03,Flexible,1,84.96,High
D032,East,PartTime,6,81.5,3.99,Evening,1,80.48,High
D033,South,PartTime,9,59.8,4.05,Night,1,72.52,High
D034,West,FullTime,11,71.3,4.27,Morning,1,79.76,High
D035,Central,FullTime,5,66.2,3.71,Flexible,0,71.0,High
D036,Airport,PartTime,9,79.3,4.69,Morning,1,88.0,Elite
D037,North,PartTime,7,63.9,4.67,Morning,1,81.6,High
D038,South,FullTime,5,67.4,3.72,Evening,1,71.6,High
D039,Airport,Contract,7,86.1,4.06,Evening,1,83.16,High
D040,Riverside,FullTime,7,55.6,4.4,Night,1,75.04,High
D041,East,PartTime,3,88.2,3.67,Morning,1,79.32,High
D042,North,FullTime,9,70.5,3.37,Night,1,68.64,Moderate
D043,North,FullTime,13,80.3,4.6,Evening,0,87.32,Elite
D044,Airport,FullTime,11,79.4,4.05,Night,1,80.36,High
D045,North,FullTime,2,59.6,4.12,Flexible,1,73.28,High
D046,South,FullTime,5,82.2,4.06,Morning,1,81.6,High
D047,South,FullTime,7,64.6,4.7,Morning,1,82.24,High
D048,East,FullTime,7,76.3,3.45,Flexible,1,71.92,High
D049,Central,Contract,14,41.4,4.0,Morning,1,64.56,Moderate
D050,North,FullTime,6,87.4,3.9,Evening,1,81.76,High
D051,West,FullTime,3,75.4,3.58,Evening,1,73.12,High
D052,Riverside,FullTime,8,71.7,3.39,Morning,1,69.36,Moderate
D053,West,FullTime,5,83.3,3.8,Morning,1,78.92,High
D054,West,FullTime,3,80.1,4.32,Morning,1,83.88,High
D055,Central,FullTime,15,90.5,5.0,Flexible,1,96.2,Elite
D056,West,FullTime,12,74.6,4.45,Evening,1,83.24,High
D057,West,FullTime,6,75.0,4.25,Morning,1,81.0,High
D058,Airport,FullTime,9,82.7,4.27,Flexible,1,84.32,High
D059,North,FullTime,7,82.8,4.22,Night,1,83.76,High
D060,South,FullTime,4,76.0,4.49,Morning,1,84.28,High
D061,Riverside,Contract,8,85.9,4.38,Evening,1,86.92,Elite
D062,South,FullTime,10,62.4,4.48,Flexible,1,78.72,High
D063,North,PartTime,12,85.7,4.03,Morning,1,82.64,High
D064,South,PartTime,14,88.9,4.18,Morning,1,85.72,Elite
D065,Riverside,FullTime,14,59.6,4.02,Morning,1,72.08,High
D066,South,PartTime,1,83.3,4.13,Flexible,1,82.88,High
D067,West,FullTime,11,77.0,4.84,Morning,1,88.88,Elite
D068,Central,PartTime,10,83.9,3.99,Flexible,1,81.44,High
D069,North,PartTime,2,61.5,5.0,Evening,0,84.6,High
D070,South,FullTime,9,67.0,5.0,Flexible,1,86.8,Elite
D071,Central,PartTime,12,56.7,4.49,Evening,1,76.56,High
D072,South,FullTime,10,75.8,4.47,Evening,1,83.96,High
D073,East,FullTime,11,76.9,4.58,Evening,1,85.72,Elite
D074,Central,FullTime,12,79.5,4.61,Evening,1,87.12,Elite
D075,Airport,FullTime,13,99.0,3.62,Evening,1,83.04,High
